,name,Stop_Name,Bus_Stop_Type,latitude,longitude,val_shelter,val_sign,val_seating,val_trash,val_exist,val_year,Notes,
1444,902746,JOHNSON FERRY RD NE @ GLENRIDGE DR NE,Sign Strapped to Pole,33.922431,-84.367997,,1,,,1,2024,,
1445,902749,ROSWELL RD NE @ ALLEN RD,Shelter,33.91372,-84.37955,1,1,1,1,1,2025,,
1446,902751,ROSWELL RD NE @ HAMMOND DR NE,Shelter,33.918569,-84.379175,1,1,1,1,1,2024,Perpendicular,
1453,902803,NORTH POINT PKWY @ 7300,Sign on Post,34.042954,-84.301809,,1,,,1,2021,Perpendicular,
1468,902882,CAROLINE ST @ 1270,Sign on Post,33.758437,-84.347065,,1,,,1,2025,,
1481,902974,ASHFORD DUNWOODY RD@MT VERNON RD,Sign on Post,33.94277,-84.337898,,1,,,1,2024,,
1483,902995,ROSWELL RD NE @ 6500,Sign on Post,33.933925,-84.38,,1,,,1,2024,,
1486,903005,ASHFORD DUNWOODY RD@ASHFORD GABLES,Shelter,33.936667,-84.338028,1,,1,1,1,2022,,
1489,903034,PEACHTREE DUNWOODY RD @ JOHNSON FERRY RD,Sign on Post,33.907455,-84.35239,,1,,,1,2025,,
1503,903221,HAMMOND DR NE@KAYRON DR,Sign on Post,33.919041,-84.371799,,1,,,1,2024,,
1509,903281,RALPH MCGILL BLVD NE@PIEDMONT AVE N,Sign Strapped to Pole,33.764118,-84.381066,,1,,,1,2025,,
1512,903284,RALPH MCGILL BLVD NE@CENTRAL PARK PL,Sign on Post,33.764138,-84.377445,,1,,,1,2025,,
1524,903384,ROCKBRIDGE RD@3771,Sign on Post,33.783759,-84.237846,,1,,,1,2024,,
1527,903402,BOULEVARD NE @ MORGAN ST NE,Sign on Post,33.768699,-84.371983,,1,,,1,2022,,
1528,903404,BOULEVARD NE @ RALPH MCGILL BLVD NE,Sign on Post,33.764074,-84.372078,,1,,,1,2025,,
1546,903507,MEMORIAL DR @ 5211 (STONEMONT VILLAGE SC),Shelter,33.797287,-84.223366,1,1,1,1,1,2022,,
1548,903549,CARTER ST @ LEACH ST,Sign on Post,33.7564,-84.414,,1,,,1,2025,,
1553,903582,CLAIRMONT RD @ CLAIRMONT LAKE,Sign on Post,33.801213,-84.309559,,1,,,1,2025,,
1566,903622,N DECATUR RD @ WENDAN DR,Sign on Post,33.79268,-84.29674,,1,,,1,2024,Captured by individual,
1567,903624,N DECATUR RD @ SUZANNE DR,Sign on Post,33.79364,-84.294075,,1,,,1,2024,Captured by individual,
1574,903698,CHURCH ST @ N DECATUR RD,Sign on Post,33.792033,-84.285253,,1,,,1,2024,Captured by individual,
1590,903856,GLENDALE RD @ BROWNELL AVE,Sign on Post,33.78672,-84.25519,,1,,,1,2022,,
1594,903904,DEKALB INDUSTRIAL WAY @ IRVIN WAY,Sign on Post,33.789268,-84.276476,,1,,,1,2022,,
1595,903905,DEKALB INDUSTRIAL WAY @ 455,Sign on Post,33.790166,-84.27608,,1,,,1,2022,,
