,Unnamed: 0,name,Stop_Name,Bus_Stop_Type,latitude,longitude,val_shelter,val_sign,val_seating,val_trash,val_exist,val_year,Unnamed: 12,Unnamed: 13,latitude_res,longitude_res,date,sign,shelter,trash,seating
3,1202,900571,PEACHTREE RD@3171,Bench,33.840947,-84.375471,0.0,1.0,0.0,0.0,3,2023.0,0,0,33.84094700000003,-84.37547099999995,2023-01,0.0,0.576,0.0,0.0
4,1203,900637,PEACHTREE RD NW@PEACHTREE AVE,Bench,33.834173,-84.382922,0.0,1.0,1.0,1.0,3,2024.0,0,0,33.83417300000008,-84.38292199999995,2024-12,0.0,0.0,0.852,0.845
5,1204,900638,PEACHTREE RD NW@SHERIDAN,Sign Strapped to Pole,33.833595,-84.383653,0.0,1.0,0.0,0.0,1,2024.0,0,0,33.83359500000006,-84.38365299999998,2024-07,0.0,0.0,0.0,0.533
21,1223,900784,PEACHTREE ST @ LUCKIE ST,Sign Strapped to Pole,33.756571,-84.38841,0.0,1.0,0.0,0.0,1,2025.0,0,0,33.756571000000065,-84.38840999999996,2025-03,0.0,0.0,0.0,0.686
58,1260,901009,CAMERON M ALEXANDER BLVD @ JAMES P BRAWLEY DR,Shelter,33.76818,-84.412688,1.0,1.0,1.0,1.0,1,2022.0,0,0,33.76818000000003,-84.41268799999995,2022-02,0.0,0.924,0.867,0.834
73,1275,901056,WESTVIEW DR SW @ WESTVIEW PL SW,Shelter,33.74735,-84.434525,1.0,1.0,1.0,1.0,3,2019.0,0,0,33.74735000000004,-84.43452499999995,2019-08,0.0,0.929,0.861,0.891
74,1276,901060,RALPH D ABERNATH BLVD @ CENTRAL AVE,Sign Strapped to Pole,33.736936,-84.393252,0.0,1.0,0.0,0.0,1,2025.0,0,0,33.73693600000007,-84.39325199999996,2025-03,0.0,0.0,0.0,0.891
75,1277,901071,RALPH MCGILL BLVD NE @ ASHLEY AVE NE,Sign on Post,33.765853,-84.363518,0.0,1.0,1.0,0.0,1,2025.0,0,0,33.76585300000005,-84.36351799999994,2025-03,0.0,0.0,0.0,0.841
88,1292,901148,RALPH MCGILL BLVD NE@COURTLAND ST,Sign Strapped to Pole,33.76432,-84.38319,0.0,1.0,0.0,0.0,1,2025.0,0,0,33.764320000000055,-84.38318999999996,2025-03,0.0,0.465,0.0,0.0
105,1310,901272,JOHN LEWIS FREEDOM PKWY NE @ CARTER CENTER ENTR,Shelter,33.76878,-84.354698,1.0,1.0,1.0,1.0,1,2025.0,0,0,33.76878000000005,-84.35469799999998,0,0.0,0.0,0.0,0.0
112,1318,901350,JOSEPH E BOONE BLVD @ SCIPLE TER NW,Bench,33.763531,-84.415014,0.0,1.0,1.0,0.0,3,2025.0,0,0,33.76353100000006,-84.41501399999999,2025-01,0.0,0.901,0.865,0.0
116,1322,901355,JOSEPH E BOONE BLVD NW @ GRIFFIN ST NW,Shelter,33.763241,-84.411346,1.0,1.0,1.0,1.0,1,2025.0,0,0,33.76324100000005,-84.41134599999998,2025-01,0.0,0.923,0.0,0.868
131,1338,901703,PIEDMONT RD NE @ E PACES FERRY RD NE,Shelter,33.838752,-84.368854,1.0,1.0,1.0,1.0,2,2024.0,0,0,33.838752000000056,-84.36885399999994,2024-12,0.0,0.913,0.84,0.767
148,1357,901762,PEACHTREE RD NE @ E SHADOWLAWN AVE,Sign on Post,33.841644,-84.37426,0.0,1.0,0.0,0.0,1,2024.0,0,0,33.84164400000003,-84.37425999999994,0,0.0,0.0,0.0,0.0
149,1358,901763,PEACHTREE RD NW @ 3180,Sign on Post,33.841171,-84.375565,0.0,1.0,0.0,0.0,1,2024.0,0,0,33.84117100000003,-84.37556499999994,0,0.0,0.0,0.0,0.0
152,1361,901766,PEACHTREE RD @ BUCKHEAD AVE NE,Shelter,33.838535,-84.380803,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.83853500000004,-84.38080299999996,2024-12,0.0,0.915,0.818,0.826
158,1367,901858,DEKALB INDUSTRIAL WAY @ 685,Sign on Post,33.797115,-84.279093,0.0,1.0,0.0,0.0,2,2024.0,0,0,33.79711500000008,-84.27909299999999,0,0.0,0.0,0.0,0.0
159,1368,901859,DEKALB INDUSTRIAL WAY @ 751,Shelter,33.798619,-84.27993,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.79861900000003,-84.27992999999998,2024-07,0.0,0.872,0.676,0.692
183,1393,902455,PEACHTREE ST @ BUFORD SPRING CONN,Shelter,33.798102,-84.390793,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.79810200000003,-84.39079299999997,2025-10,0.0,0.907,0.797,0.835
189,1400,902491,PEACHTREE ST NE@W PEACHTREE ST NW,Sign Strapped to Pole,33.794458,-84.387505,0.0,1.0,0.0,0.0,1,2025.0,0,0,33.79445800000008,-84.38750499999998,0,0.0,0.0,0.0,0.0
192,1403,902513,PEACHTREE RD @ PHARR RD NE,Shelter,33.836966,-84.381379,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.836966000000075,-84.38137899999998,2025-03,0.0,0.898,0.724,0.759
193,1404,902514,15TH ST NE @ ARTS CENTER WAY NE,Shelter,33.788298,-84.38568,1.0,1.0,1.0,1.0,2,2024.0,0,0,33.788298000000054,-84.38567999999998,2024-09,0.0,0.0,0.598,0.0
196,1407,902517,PEACHTREE ST NE@SPRING ST NW,Sign Strapped to Pole,33.797304,-84.388911,0.0,1.0,0.0,0.0,1,2025.0,0,0,33.797304000000054,-84.38891099999995,2024-07,0.0,0.0,0.0,0.661
209,1420,902653,HAYNES BRIDGE RD @ WESTSIDE PKWY,Sign on Post,34.061055,-84.289146,0.0,1.0,0.0,0.0,1,2024.0,0,0,34.06105500000007,-84.28914599999996,2024-03,0.0,0.381,0.617,0.0
221,1432,902706,S MAIN ST @ JANIS LN,Sign on Post,34.069839,-84.29787,0.0,1.0,0.0,0.0,3,2023.0,0,0,34.06983900000006,-84.29786999999999,2023-09,0.0,0.0,0.456,0.0
227,1438,902726,ASHFORD DUNWOODY RD@ASHFORD PKY,Sign on Post,33.93416,-84.337574,0.0,1.0,0.0,0.0,3,2024.0,0,0,33.93416000000008,-84.33757399999996,2024-06,0.0,0.857,0.629,0.257
230,1902,904978,2ND AVE @ E LAKE DR,Sign on Post,33.759859,-84.310582,0.0,1.0,0.0,0.0,3,2018.0,0,0,33.75985900000006,-84.31058199999995,2024-06,0.0,0.0,0.0,0.666
241,1913,905000,MONROE DR NE @ VIRGINIA AVE NE,Shelter,33.78,-84.36912,1.0,1.0,1.0,1.0,3,2025.0,0,0,33.78000000000003,-84.36911999999995,2024-11,0.0,0.918,0.84,0.871
260,1933,905074,COMMERCE DR @ W TRINITY PL,Sign on Post,33.772485,-84.298931,0.0,1.0,1.0,0.0,1,2022.0,0,0,33.772485000000074,-84.29893099999998,2022-08,0.0,0.0,0.0,0.886
268,1941,905093,COLUMBIA DR@DERRYDOWN WAY,Sign on Post,33.768123,-84.284122,0.0,1.0,0.0,0.0,2,2025.0,0,0,33.76812300000006,-84.28412199999997,0,0.0,0.0,0.0,0.0
273,1947,905102,CLAIREMONT AVE @ MICHIGAN AVE,Sign on Post,33.781943,-84.299105,0.0,1.0,0.0,0.0,1,2024.0,0,0,33.78194300000007,-84.29910499999994,2024-06,0.0,0.0,0.0,0.651
309,1983,905526,PIEDMONT RD NE @ PEACHTREE RD NE,Shelter,33.844399,-84.371807,1.0,1.0,1.0,1.0,1,2024.0,Obstruction,0,33.84439900000007,-84.37180699999999,2024-12,0.0,0.764,0.0,0.0
310,1984,905552,N DECATUR RD @ BLACKMON DR,Shelter,33.792812,-84.288342,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.792812000000026,-84.28834199999994,2025-11,0.0,0.925,0.882,0.884
312,1986,905554,WINN WAY @ 440,Shelter,33.786535,-84.279414,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.78653500000007,-84.27941399999997,2025-11,0.0,0.921,0.862,0.857
327,2001,905790,CHURCH ST @ 1438,Shelter,33.789568,-84.287683,1.0,1.0,1.0,1.0,3,2020.0,0,0,33.78956800000003,-84.28768299999996,2024-06,0.0,0.894,0.566,0.0
329,2003,905792,MEMORIAL DR @ SPRING CHASE CIR,Shelter,33.790175,-84.230374,1.0,1.0,1.0,1.0,3,2024.0,0,0,33.79017500000003,-84.23037399999998,2025-10,0.0,0.901,0.842,0.754
347,2022,906006,PEACHTREE RD @ HIGHLAND DR,Sign Strapped to Pole,33.845641,-84.368791,0.0,1.0,0.0,0.0,1,2022.0,0,0,33.84564100000006,-84.36879099999999,2024-07,0.0,0.0,0.0,0.582
351,2026,906033,DEKALB INDUSTRIAL WAY@MILSCOTT DR,Shelter,33.796471,-84.278771,0.0,1.0,0.0,0.0,3,2024.0,0,0,33.796471000000054,-84.27877099999995,2024-06,0.0,0.857,0.4,0.809
352,2027,906034,ROCKBRIDGE RD@ROCKBRIDGE TRL,Sign on Post,33.786873,-84.230408,0.0,1.0,0.0,0.0,1,2024.0,0,0,33.78687300000007,-84.23040799999995,2024-07,0.0,0.797,0.0,0.0
357,2032,906304,ROSWELL RD NE @ CROMWELL RD NE,Sign on Post,33.929142,-84.379456,0.0,1.0,0.0,0.0,1,2024.0,0,0,33.92914200000007,-84.37945599999995,2024-11,0.0,0.857,0.0,0.64
359,2034,906308,ROSWELL RD NE@HAMMOND DR NE,Sign on Post,33.918624,-84.378939,0.0,1.0,0.0,1.0,1,2024.0,Asymmetrical,0,33.91862400000008,-84.37893899999995,2024-06,0.0,0.914,0.874,0.837
