,name,Stop_Name,Bus_Stop_Type,latitude,longitude,val_shelter,val_sign,val_seating,val_trash,val_exist,val_year,,
1213,900704,JOSEPH E BOONE BLVD @ JAMES P BRAWLEY DR NW,Sign on Post,33.763515,-84.412512,0,1,0,0,3,2025,,
1214,900705,JOSEPH E BOONE BLVD @ GRIFFIN ST NW,Bench,33.763515,-84.411114,0,1,1,1,3,2025,,
1215,900708,JOSEPH E BOONE BLVD @ SCIPLE TER NW,Shelter,33.763417,-84.414907,1,1,1,1,3,2025,,
1216,900710,JOSEPH E BOONE BLVD NW @ JAMES P BRAWLEY,Shelter,33.763408,-84.413327,1,1,1,1,3,2025,,
1218,900724,PEACHTREE ST @ JOHN PORTMAN BLVD,Sign Strapped to Pole,33.761272,-84.387645,0,1,0,0,3,2025,,
1221,900746,ROCKBRIDGE RD@S SUSAN CREEK DR,Sign on Post,33.785902,-84.225504,0,1,0,0,3,2012,,
1225,900805,JOSEPH E BOONE BLVD @ VINE ST NW,Shelter,33.763412,-84.407518,0,1,1,0,3,2025,,
1226,900807,JOSEPH E BOONE BLVD @ MAPLE ST NW,Sign on Post,33.763373,-84.405373,0,1,0,0,3,2025,,
1230,900854,JOHN WESLEY DOBBS AVE @ JACKSON ST,Sign on Post,33.758966,-84.373669,0,1,0,0,3,2025,,
1231,900856,NORTH AVE @ GLEN IRIS DR,Sign on Post,33.771177,-84.368175,0,1,0,0,3,2025,,
1232,900859,MORELAND AVE NE @ WADE ST NE,Shelter,33.756601,-84.349239,1,1,1,1,3,2025,,
1233,900868,CENTENNIAL OLYMPIC PARK DR @ MERRITSS AVE,Sign on Post,33.76874,-84.392084,0,1,0,0,3,2025,,
1235,900906,JOSEPH E BOONE BLVD @ SUNSET AVE NW,Bench,33.76338,-84.40976,0,1,1,0,3,2025,,
1236,900907,JOSEPH E BOONE BLVD @ NORTHSIDE DR,Sign on Post,33.763367,-84.403204,0,1,1,0,3,2025,,
1237,900908,NORTHSIDE DR NW @ THURMOND ST NW,Sign on Post,33.760838,-84.402797,0,1,0,0,3,2025,,
1238,900911,CAMERON M ALEXANDER BLVD @ VINE ST NW,Sign on Post,33.768193,-84.407763,0,1,0,0,3,2023,,
1239,900912,CAMERON M ALEXANDER BLVD NW @ VINE ST NW,Sign on Post,33.768255,-84.407654,0,1,0,0,3,2023,,
1240,900914,IRWIN ST NE @ BOULEVARD NE,Sign on Post,33.757561,-84.371646,0,1,0,0,3,2025,,
1241,900923,N CLARENDON AVE @ LAREDO DR,Sign on Post,33.777951,-84.266852,0,1,0,0,3,2024,,
1242,900927,CENTENNIAL OLYMPIC PARK DR @ HUNNICUTT ST,Sign on Post,33.766803,-84.392052,0,1,0,0,3,2024,,
