,OBJECTID,FIELD1,name,Stop_Abbr,Stop_Name,Bus_Stop_Type,Route_S_,Jurisdiction,OBJECTID.1,id,longitude,latitude
0,1,0,100004,100004,JOSEPH E LOWERY BLVD @ BECKWITH ST SW,Sign Strapped to Pole,1;68,Atlanta,,,-84.41759999999994,33.75256900000005
1,2,1,100006,100006,JOSEPH E LOWERY BLVD @ PARSONS ST SW,Sign Strapped to Pole,1;68,Atlanta,,,-84.41776199999998,33.751251000000025
2,3,2,100008,100008,JOSEPH E LOWERY BLVD @ ASHBY GRV SW,Sign on Post,1;68,Atlanta,,,-84.41760399999998,33.75000400000005
3,4,3,100010,100010,JOSEPH E LOWERY BLVD @ FAIR ST SW,Sign Strapped to Pole,1;68,Atlanta,,,-84.41759399999995,33.74921200000006
4,5,4,100012,100012,JOSEPH E LOWERY BLVD SW @ WESTVIEW DR SW,Sign on Post,1;68,Atlanta,,,-84.41761499999996,33.74683300000004
5,6,5,100014,100014,JOSEPH E LOWERY BLVD @ SELLS AVE SW,Shelter,1;68,Atlanta,,,-84.41778399999998,33.74558700000006
6,7,6,100016,100016,WEST END AVE SW @ ASHBY ST SW,Sign on Post,68,Atlanta,,,-84.41724599999998,33.744403000000034
7,8,7,100017,100017,WEST END AVE SW @ WELLBORN ST SW,Sign on Post,68,Atlanta,,,-84.41549899999995,33.74430400000006
8,9,8,100022,100022,W END AVE SW @ ASHBY ST SW,Sign on Post,68,Atlanta,,,-84.41736699999996,33.74457000000007
9,10,9,100024,100024,JOSEPH E LOWERY BLVD @ ATLANTA STUDENT MOVEMENT BLVD,Sign on Post,1;68,Atlanta,,,-84.41733699999997,33.74902400000008
10,11,10,100026,100026,JOSEPH E LOWERY BLVD @ PARSONS ST SW,Sign on Post,1;68,Atlanta,,,-84.41727699999996,33.75063000000006
11,12,11,100028,100028,JOSEPH E LOWERY BLVD @ BECKWITH ST SW,Sign on Post,1;68,Atlanta,,,-84.41732199999996,33.752027000000055
12,13,12,100030,100030,ATLANTA STUDENT MOVEMENT BLVD @ EUHRLEE ST SW,Sign on Post,813,Atlanta,,,-84.41601499999996,33.74926400000004
13,14,13,100032,100032,ATLANTA STUDENT MOVEMENT BLVD @ OGDEN ST SW,Sign on Post,813,Atlanta,,,-84.41680899999994,33.74923600000005
14,15,14,100035,100035,FAIR ST SW @ JOSEPH E LOWERY BLVD,Sign on Post,813,Atlanta,,,-84.41805899999997,33.74898500000006
15,16,15,100036,100036,FAIR ST SW @ ABBOTT ST SW,Sign on Post,813,Atlanta,,,-84.41916699999996,33.74895900000007
16,17,16,100038,100038,FAIR ST SW @ AGNES JONES PL SW,Sign on Post,813,Atlanta,,,-84.42027299999995,33.74898100000007
17,18,17,100040,100040,FAIR ST SW @ JOSE ST SW,Sign on Post,813,Atlanta,,,-84.42169399999995,33.748920000000055
18,19,18,100042,100042,FAIR ST SW @ LAWTON ST SW,Sign on Post,813,Atlanta,,,-84.42313499999995,33.74908800000003
19,20,19,100043,100043,FAIR ST SW @ SAINT JOSE ST SW,Sign on Post,813,Atlanta,,,-84.42172599999998,33.74927200000008
20,21,20,100044,100044,ATLANTA STUDENT MOVEMENT BLVD @ EUHARLEE ST SW,Sign on Post,813,Atlanta,,,-84.41604799999999,33.74919200000005
21,22,21,100045,100045,FAIR ST SW @ AGNES JONES PL SW,Sign on Post,813,Atlanta,,,-84.42046099999999,33.74916200000007
22,23,22,100046,100046,JOSEPH E LOWERY BLVD @ MITCHELL ST SW,Sign on Post,1;68,Atlanta,,,-84.41746599999999,33.75331800000004
23,24,23,100048,100048,JOSEPH E LOWERY BLVD @ MARTIN L KING JR DR,Sign on Post,1;68,Atlanta,,,-84.41734599999995,33.75452400000006
24,25,26,100054,100054,MARTIN LUTHER KING J DR SW @ BURBANK,Sign on Post,3,Atlanta,,,-84.42817399999996,33.75344300000006
25,26,27,100058,100058,HOLDERNESS ST SW @ FAIR ST SW,Sign on Post,813,Atlanta,,,-84.42635099999995,33.74893300000008
26,27,28,100060,100060,FAIR ST SW @ HOLDERNESS ST SW,Sign on Post,813,Atlanta,,,-84.42635299999995,33.74907600000006
27,28,29,100061,100061,HOLDERNESS ST SW @ WESTVIEW DR SW,Sign on Post,813,Atlanta,,,-84.42661099999998,33.747532000000035
28,29,30,100062,100062,HOLDERNESS ST SW @ WESTVIEW DR SW,Sign on Post,813,Atlanta,,,-84.42698699999994,33.74742500000008
29,30,31,100063,100063,WESTVIEW DR SW @ LANGHORN ST SW,Sign on Post,813,Atlanta,,,-84.42799399999996,33.74715400000008
30,31,32,100066,100066,WESTVIEW DR SW @ ATWOOD ST SW,Sign on Post,813,Atlanta,,,-84.42914599999995,33.74719200000004
31,32,33,100067,100067,WESTVIEW DR SW @ HOPKINS ST SW,Sign on Post,813,Atlanta,,,-84.43091599999997,33.747363000000064
32,33,34,100069,100069,WESTVIEW DR SW @ CHICAMAUGA AVE SW,Sign on Post,813,Atlanta,,,-84.43210099999999,33.74737900000002
33,34,35,100070,100070,WESTVIEW DR SW @ CHICAMAUGA AVE SW,Sign on Post,813,Atlanta,,,-84.43264499999998,33.747280000000046
34,35,36,100074,100074,LUCILE AVE SW @ JOSEPH E LOWERY BLVD,Sign on Post,58,Atlanta,,,-84.41813699999994,33.742268000000024
35,36,37,100076,100076,LUCILE AVE SW @ PEEPLES ST SW,Sign on Post,58,Atlanta,,,-84.42033399999997,33.74229400000007
36,37,38,100078,100078,LUCILE AVE SW @ LAWTON ST SW,Sign on Post,58,Atlanta,,,-84.42248899999998,33.742327000000046
37,38,39,100080,100080,LUCILE AVE SW @ LAWTON ST SW,Sign on Post,58,Atlanta,,,-84.42391199999997,33.742364000000066
38,39,40,100082,100082,LUCILE AVE SW @ DARGAN PL SW,Sign on Post,58,Atlanta,,,-84.42513299999996,33.74237800000003
39,40,41,100084,100084,LUCILE AVE SW @ HOPKINS ST SW,Sign on Post,58,Atlanta,,,-84.43047999999999,33.74237000000005
40,41,42,100086,100086,LUCILE AVE SW @ LANGHORN ST SW,Sign on Post,58,Atlanta,,,-84.43229699999995,33.74233600000008
41,42,43,100088,100088,LUCILE AVE SW @ HOPKINS ST SW,Sign on Post,58,Atlanta,,,-84.43040399999995,33.742174000000034
42,43,44,100090,100090,LUCILE AVE SW @ ATWOOD ST SW,Sign on Post,58,Atlanta,,,-84.42885499999994,33.74226200000004
43,44,45,100092,100092,LUCILE AVE SW @ HOLDERNESS ST SW,Sign on Post,58,Atlanta,,,-84.42713799999996,33.74224600000008
44,45,46,100094,100094,LUCILE AVE SW @ DARGAN PL SW,Sign on Post,58,Atlanta,,,-84.42480099999995,33.74225700000005
45,46,47,100096,100096,LUCILE AVE SW @ LAWTON ST SW,Sign on Post,58,Atlanta,,,-84.42336599999999,33.74221300000005
46,47,48,100098,100098,LUCILE AVE SW @ LAWTON ST SW,Sign on Post,58,Atlanta,,,-84.42271399999998,33.74216900000005
47,48,49,100100,100100,LUCILE AVE SW @ PEEPLES ST SW,Sign on Post,58,Atlanta,,,-84.42048399999999,33.741464000000065
48,49,50,100102,100102,LUCILE AVE SW @ ATWOOD ST SW,Sign on Post,58,Atlanta,,,-84.42877099999998,33.742346000000055
49,50,51,100114,100114,JOSEPH E LOWERY BLVD @ SELLS AVE SW,Sign Strapped to Pole,1;68,Atlanta,,,-84.41728999999998,33.745314000000064
50,51,52,100115,100115,JOSEPH E LOWERY BLVD @ WESTVIEW DR SW,Sign on Post,1;68,Atlanta,,,-84.41733399999998,33.74634000000003
51,52,54,100126,100126,MARTIN L KING JR DR NW @ BURBANK DR NW,Sign on Post,3,Atlanta,,,-84.42799999999994,33.75351500000005
52,53,55,100128,100128,MARTIN LUTHER KING J @ STAFFORD ST,Sign on Post,3,Atlanta,,,-84.42652199999998,33.75344400000006
53,54,56,100130,100130,MARTIN L KING JR DR NW @ STAFFORD ST SW,Sign on Post,3,Atlanta,,,-84.42648899999995,33.75351600000005
54,55,57,100132,100132,MARTIN L KING JR DR @ MORRIS BROWN,Sign on Post,3,Atlanta,,,-84.42496799999998,33.753840000000025
55,56,58,100134,100134,MARTIN L KING JR DR NW @ MORRIS BROWN DR SW,Sign on Post,3,Atlanta,,,-84.42501099999998,33.75389300000006
56,57,59,100136,100136,MARTIN LUTHER KING J @ HUNTER PL N,Sign on Post,3,Atlanta,,,-84.42382699999996,33.754395000000045
57,58,60,100137,100137,MARTIN LUTHER KING J DR @ WHITEHOUSE DR,Shelter,3,Atlanta,,,-84.41993999999994,33.75470900000005
58,59,61,100138,100138,MARTIN L KING JR DR NW @ HUNTER PL NW,Sign on Post,3,Atlanta,,,-84.42389199999997,33.75443100000007
59,60,62,100142,100142,MARTIN L KING JR DR NW @ BOOKER ST NW,Sign on Post,3,Atlanta,,,-84.42031099999997,33.75477200000006
